1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
1	1	0.002	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	8.37758e-05
